id;UniversidadCompleto;Universidad;Universidad_Siglas;Facultad;Carrera;Country;Type;Genero;Edad;Q11;Q12;Q13;Q21;Q22;Q23;Q31;Q32;Q33;Q41;Q42;Q43;Q51;Q52;Q53;Q61;Q62;Q63;Q71;Q72;Q73;Q81;Q82;Q83
1;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;28;3;2;2;2;4;1;4;1;2;1;3;4;4;3;2;1;4;1;3;1;2;4;1;3
2;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;1;2;4;4;4;4;2;2;2;3;3;4;4;4;4;4;4;4;4;3;4;3;3
3;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;1;3;4;4;4;4;4;4;3;4;4;4;3;4;3;4;2;4;4;4;4;4;4
4;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;3;4;4;4;3;2;3;2;2;3;3;3;3;3;4;4;3;3;4;3;4;3
5;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;2;3;2;4;4;3;3;2;3;2;2;1;4;3;3;3;2;2;2;3;3;3;3;4
6;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;4;1;3;4;4;4;3;2;2;1;3;2;4;4;4;3;3;3;4;4;4;4;4;4
7;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;1;4;3;3;4;3;2;3;1;2;2;4;2;2;2;2;2;3;3;4;2;2;2
8;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;4;2;2;4;4;3;3;3;3;2;2;3;4;3;3;4;4;4;3;4;4;4;3;3
9;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;2;4;4;3;2;1;1;2;2;2;4;3;2;3;2;3;3;3;3;4;2;4
10;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;3;2;2;3;2;3;2;3;2;3;4;2;3;2;3;1;4;3;3;2;3;2
11;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;1;1;1;4;4;4;3;1;1;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4
12;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;3;2;3;4;2;2;2;2;3;2;3;4;4;3;1;1;2;2;2;2;4;4;4
13;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;4;4;3;4;3;4;3;4;3;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3
